Eil. Nr.,Namo adresas
1,"A.Stulginskio g. 60, Kaunas"
2,"Jėgainės g. 23, Kaunas"
3,"Kuršių g. 6, Kaunas"
4,"Pagėgių g. 26, Kaunas"
5,"R.Kalantos g. 40, Kaunas"
6,"R.Kalantos g. 65, Kaunas"
7,"Raudondvario pl. 188, Kaunas"
8,"Sąjungos a. 10, Kaunas"
9,"Saulės g. 8, Kaunas"
10,"T. Masiulio g. 7, Kaunas"
11,"T.Masiulio g. 1, Kaunas"
12,"T.Masiulio g. 11, Kaunas"
13,"T.Masiulio g. 12, Kaunas"
14,"T.Masiulio g. 14, Kaunas"
15,"Taikos per. 84 (II), Kaunas"
16,"A.Strazdo g. 75A, Kaunas"
17,"A.Strazdo g. 77A., Kaunas"
18,"Bajorų g. 4, Kaunas"
19,"Baltų pr. 139, Kaunas"
20,"Birželio 23-osios g. 15, Kaunas"
21,"Raudondvario pl. 178, Kaunas"
22,"Sąjungos a. 15, Kaunas"
23,"Taikos pr. 76, Kaunas"
24,"Taikos pr. 86, Kaunas"
