Eil. Nr.,Namo adresas
1,Sukilėlių pr. 88
2,Taikos pr. 117B
3,Rasytės g. 40
4,Rasytės g. 26
5,Pramonės pr. 91
6,Partizanų g. 214
7,Totorių g. 18
8,Kovo 11-osios g. 3
9,S. Dariaus ir S. Girėno g. 22
10,Antanavos g. 1
11,M. K. Čiurlionio g. 8
12,Sukilėlių pr. 89
13,V. Čepinskio g. 2
14,Seinų g. 20
15,Savanorių pr. 237
16,R. Kalantos g. 21
17,Vilkų g. 10
18,Kovo 11-osios g. 25
19,Raudondvario pl. 186
20,K. Baršausko g. 78
21,Ekskavatorininkų g. 5A
22,A. ir J. Gravrogkų g. 7
23,Šiaurės pr. 14
24,Šiaurės pr. 6
