Eil.Nr.,Adresas
1,"A. Juozapavičaus pr. 48B, Kaunas"
2,"A. Smetonos al. 65, Kaunas"
3,"Guobų g. 42A, Kaunas"
4,"K. Griniaus g. 13, Kaunas"
5,"Kęstučio g. 51, Kaunas"
6,"Laisvės al. 102A, Kaunas"
7,"Muravos g. 11, Kaunas"
8,"Nemuno krantinė 30, Kaunas"
9,"P. Plechavičiaus g. 17, Kaunas"
10,"Pienių g. 8, Kaunas"
11,"R. Kalantos g. 46, Kaunas"
12,"Sąjungos a. 4, Kaunas"
13,"Sąjungos a. 5, Kaunas"
14,"Savanorių pr. 278, Kaunas"
15,"Savanorių pr. 399, Kaunas"
16,"Šiaurės pr. 5, Kaunas"
17,"Tvirtovės al. 2, Kaunas"
18,"Vinčų g. 2, Kaunas"
19,"Vytauto pr. 60, Kaunas"
20,"Vytenio g. 20, Kaunas"
21,"Radvilėnų pl. 3, Kaunas"
22,"Radvilėnų pl. 3A, Kaunas"
23,"M. Daukšos g. 16, Kaunas"
24,"A. Juozapavičiaus pr. 42, Kaunas"
25,"A. Smetonos al. 53, Kaunas"
26,"Betonuotojų g. 5, Kaunas"
27,"Č. Sasnausko g. 38, Kaunas"
28,"D. Poškos g. 17, Kaunas"
29,"Geležinio Vilko g. 19, Kaunas"
30,"J. Jablonskio g. 19, Kaunas"
31,"K. Būgos g. 45, Kaunas"
32,"K. Būgos g. 64, Kaunas"
33,"Kęstučio g. 79, Kaunas"
34,"Neries krantinė 32, Kaunas"
35,"Pažangos g. 3, Kaunas"
36,"Šiaurės pr. 19, Kaunas"
